,Predicted_Mean,Lower_CI,Upper_CI
2023-04-12,15.435694562492287,10.434717503787995,20.43667162119658
2023-04-13,14.727171804367163,9.726194745662871,19.728148863071453
2023-04-14,14.467497417243642,9.46652035853935,19.468474475947936
2023-04-15,13.583158191532812,8.58218113282852,18.584135250237104
2023-04-16,12.814345185080862,7.81336812637657,17.815322243785154
2023-04-17,13.242781103957515,8.241804045253224,18.243758162661805
2023-04-18,14.778941922231995,9.777964863527703,19.779918980936287
2023-04-19,13.24887719998758,8.247900141283289,18.249854258691872
2023-04-20,13.263560238216645,8.262583179512353,18.264537296920935
2023-04-21,12.57979890264781,7.578821843943517,17.580775961352103
2023-04-22,12.307203427375173,7.306226368670881,17.308180486079465
2023-04-23,10.47959468802188,5.478617629317588,15.480571746726172
2023-04-24,9.887657848790937,4.886680790086645,14.888634907495229
2023-04-25,10.586898717446847,5.585921658742555,15.587875776151138
2023-04-26,9.829577719615564,4.828600660911272,14.830554778319856
2023-04-27,8.95311380068452,3.952136741980228,13.954090859388812
2023-04-28,7.915891997067343,2.914914938363051,12.916869055771635
2023-04-29,7.131054192592778,2.130077133888486,12.13203125129707
2023-04-30,7.395905409838273,2.3949283511339807,12.396882468542564
2023-05-01,7.793054246756924,2.792077188052632,12.794031305461216
2023-05-02,8.93374266172153,3.9327656030172378,13.934719720425822
2023-05-03,8.724655775393675,3.723678716689383,13.725632834097967
2023-05-04,8.706907440218085,3.7059303815137934,13.707884498922377
2023-05-05,8.437908974135697,3.436931915431405,13.438886032839989
2023-05-06,10.103605881454662,5.10262882275037,15.104582940158954
2023-05-07,9.883261465740665,4.882284407036373,14.884238524444957
2023-05-08,9.585030786969858,4.584053728265566,14.58600784567415
2023-05-09,11.134076083191436,6.133099024487144,16.135053141895728
2023-05-10,10.878946192196683,5.877969133492391,15.879923250900974
2023-05-11,10.337198762448839,5.336221703744547,15.338175821153131
2023-05-12,9.200242302490391,4.199265243786099,14.201219361194683
2023-05-13,8.810973173594917,3.809996114890625,13.811950232299209
2023-05-14,8.785060009783214,3.784082951078922,13.786037068487506
2023-05-15,9.669669220752183,4.668692162047892,14.670646279456475
2023-05-16,10.573402605883727,5.572425547179435,15.574379664588019
2023-05-17,10.27241259465852,5.271435535954229,15.273389653362813
2023-05-18,9.126554876455506,4.125577817751214,14.127531935159798
2023-05-19,8.368466246906248,3.367489188201956,13.36944330561054
2023-05-20,7.980610092899621,2.979633034195329,12.981587151603913
2023-05-21,8.037968266655922,3.0369912079516297,13.038945325360213
2023-05-22,8.585461539095308,3.5844844803910156,13.5864385977996
2023-05-23,9.592691336486633,4.591714277782341,14.593668395190925
2023-05-24,8.656136599684361,3.655159540980069,13.657113658388653
2023-05-25,8.014697453169443,3.0137203944651514,13.015674511873735
2023-05-26,7.111995170342292,2.111018111638,12.112972229046584
2023-05-27,6.509585707196509,1.508608648492217,11.5105627659008
2023-05-28,6.507763304522147,1.506786245817855,11.508740363226439
2023-05-29,7.752145604415386,2.751168545711094,12.753122663119678
2023-05-30,8.73121635192838,3.7302392932240878,13.732193410632672
2023-05-31,8.246176435177553,3.245199376473261,13.247153493881845
2023-06-01,7.482249463857794,2.4812724051535024,12.483226522562086
2023-06-02,7.716737176853285,2.715760118148993,12.717714235557576
2023-06-03,7.440812622673296,2.4398355639690044,12.441789681377589
2023-06-04,6.941421868460344,1.9404448097560518,11.942398927164636
2023-06-05,7.4851620554289395,2.4841849967246477,12.48613911413323
2023-06-06,7.701888841549034,2.7009117828447424,12.702865900253325
2023-06-07,6.958211752704098,1.9572346939998058,11.959188811408389
2023-06-08,7.351996657220236,2.3510195985159443,12.352973715924527
2023-06-09,6.966306178434191,1.9653291197298994,11.967283237138483
2023-06-10,6.707610162312433,1.7066331036081408,11.708587221016725
2023-06-11,6.511783605333875,1.510806546629583,11.512760664038167
2023-06-12,7.449068426411426,2.448091367707134,12.450045485115718
2023-06-13,8.273976915841864,3.272999857137572,13.274953974546156
2023-06-14,7.506107131015321,2.5051300723110295,12.507084189719613
2023-06-15,6.9995111470164995,1.9985340883122076,12.000488205720792
2023-06-16,6.664765673696744,1.663788614992452,11.665742732401036
2023-06-17,6.317689865315423,1.3167128066111315,11.318666924019716
2023-06-18,6.369996323303051,1.3690192645987596,11.370973382007342
2023-06-19,7.4308673079938465,2.4298902492895547,12.431844366698138
2023-06-20,8.52807833128859,3.5271012725842983,13.529055389992882
2023-06-21,7.4195898026405755,2.4186127439362837,12.420566861344867
2023-06-22,6.96470585958087,1.963728800876578,11.965682918285161
2023-06-23,6.637881529823964,1.6369044711196725,11.638858588528256
2023-06-24,6.778879146222965,1.7779020875186733,11.779856204927256
2023-06-25,6.700119774898759,1.6991427161944674,11.701096833603051
2023-06-26,7.593104730965633,2.5921276722613413,12.594081789669925
2023-06-27,8.597716268551444,3.5967392098471525,13.598693327255736
2023-06-28,7.630249181407983,2.629272122703691,12.631226240112275
2023-06-29,7.180235469546279,2.179258410841987,12.18121252825057
2023-06-30,7.45092984446216,2.4499527857578682,12.451906903166453
2023-07-01,7.015055784219729,2.0140787255154375,12.016032842924021
2023-07-02,7.378623994203428,2.3776469354991363,12.37960105290772
2023-07-03,8.227100280754986,3.2261232220506937,13.228077339459277
